Lyrics (Verse),Song Title
"I got 100 on my dash, got 200 in my drum
Name in the grab bags, put my Bible in the trunk
Taaka vodka on the top of my binocular, I'm drunk
How come I can make them popular, pop em' when I want
See I'm livin' with anxiety, duckin' the sobriety
Fuckin' up the system, I ain't fuckin' with society
Justice ain't free, therefore justice ain't me
So I justify his name on obituary
Why you wanna see a good man with a broken heart?
Once upon a time I used to go to church and talk to God
Now I'm thinkin' to myself, hollow tips is all I got
Now I'm drinkin' by myself, at the intersection, parked
Watch you when you walk inside your house
You threw your briefcase all on the couch
I plan on creeping through your fuckin' door and blowin' out
Every piece of your brain until your son jump in your arms
Cut on the engine, then sped off in the rain, I'm gone",Untitled 05 | 09.21.2014.
"I'm bizarre, avant-garde
Both sides of me are evenly odd
It's attractive, you're intrigued
Am I mortal man or make-believe?
Anything you want to know (I can explain)
I can explain it
Any misunderstandings, baby (Let me explain)
I can explain it
Why don't you sit and talk to me a while? (I can explain)
Let me explain it, ahh yes (Let me explain)",Untitled 06 | 06.30.2014.
"Love won't get you high as this
Drugs won't get you high as this
Fame won't get you high as this
Chains won't get you high as this
Juice won't get you high as this
Crew won't get you high as this
Hate won't get you high as this
Levitate, levitate, levitate, levitate, uh
Love won't get you high as this
Drugs won't get you high as this
Fame won't get you high as this
Chains won't get you high as this
Juice won't get you high as this
Levitate, levitate, levitate, levitate",Untitled 07 | 2014-2016
"Two tears in the bucket I cry with you, uh
But I could never lie with you
I could never afford not to afford
I could never put my plans to the side with you
I could never see a red light
Like a deer with a headlight
I freeze up when I re-up
See I barely have patience
And you're relating
Only the moment to complete us
Why you hate to work for it?
The reason I never went to work for it
See a nine to five was so jive turkey
But when Thanksgiving came that check didn’t hurt me
You plead the fifth
I read the Fifth Amendment
We both criminals with bad intentions
They say time heals all
But if I can shortcut
My success, Corvettes by tomorrow
Wait a minute!",Untitled 08 | 09.06.2014.
"I swear, I'm tired of these emotional-ass, ungrateful-ass bitches (Shut the fuck up)
Unstable-ass, confrontational-ass dumb bitches
You wanna bring a nigga down, even when I'm tryna do right
We could go our separate ways right now, you could move on with your life (I swear to God)
Fuck you nigga, you love a pity party, I won't show up
Always act like your shit don't stink, motherfucker, grow up (Man, fuck you)
Forever late for shit, won't buy shit, sit around and deny shit (Man)
Fuck around on a side bitch, then come fuckin' up my shit
What? Fuckin' up yo' shit? You must be bleedin' and some more shit
Bitch, I don't know shit, fuck yo' feelings, you on some ho shit
See, I don't know why you likе playin' mind games with me (Mind games, man)
Bitch, I ain't slow nor ditsy, I know whеn you bein' distant (Come on, dawg)
I know when you fake busy get out yo' feelings and miss me with that reverse psychology
Man, bitch, you trippin', who got you that Rollie chain?
And who put that car in my name?
What you think? I'ma kiss yo' ass?
Nah, nigga, you fuckin' lame",We Cry Together
"When I get signed, homie, I'ma act a fool
Hit the dance floor, strobe lights in the room
Snatch your little secretary bitch for the homies
Blue-eyed devil with a fat-ass monkey
I'ma buy a brand new Caddy on vogues
Trunk the hood up, two times, deuce-four
Platinum on everythin', platinum on weddin' ring
Married to the game and a bad bitch chose
When I get signed, homie, I'ma buy a strap
Straight from the CIA, set it on my lap
Take a few M-16s to the hood
Pass 'em all out on the block, what's good?
I'ma put the Compton swap meet by the White House
Republican run up, get socked out
Hit the press with a Cuban link on my neck
Uneducated, but I got a million-dollar check like that",Wesley's Theory
"I am not for the faint of heart
My genetic build can build multi-universes, the man of God
Playin' ""Baby Shark"" with my daughter
Watchin' for sharks outside at the same time
Life as a protective father, I'd kill for her
My son Enoch is the part two
When I expire, my children'll make higher valleys
In this present moment, I saw that through
Ask Whitney about my lust addiction
Text messagin' bitches got my thumbs hurt
Set precedent for a new sacrilegion
Writer's block for two years, nothin' moved me
Asked God to speak through me, that's what you hearin' now
The voice of yours truly
Teleport out my own body for comfort
I don't pass judgment, past life regressions keep me in question
Where did I come from? I don't think like I used to
No, I don't blink like I used to
Awkward stares at everybody, see the flesh of man
But still, this man compared to nobody
Yesterday, I prayed to the flowers and trees
Gratification to the powers that be
Synchronization with my energy chakras, the ghost of Dr. Sebi
Paid it forward, cleaned out my toxins, bacteria heavy
Sciatica nerve pinch, I don't know how to feel
Like the first time I fucked a white bitch",Worldwide Steppers
"Throw a steak off the ark to a pool full of sharks
He'll take it
Leave him in the wilderness with a sworn nemesis
He'll make it (He'll make it)
Take the gratitude from him, I bet he'll show you somethin'
Woah (Woah)
I chip a nigga lil' bit of nothin'
I chip a nigga lil' bit of nothin'
I chip a nigga lil' bit of nothin'
I chip a nigga, then throw the blower in his lap
Walk myself to the court like, ""Bitch, I did that!,"" X-rated
Johnny don't wanna go to school no mo', no mo'
Johnny said books ain't cool no mo' (No mo')
Johnny wanna be a rapper like his big cousin
Johnny caught a body yesterday out hustlin'
God bless America, you know we all love him",XXX.
"I got so many theories and suspicions
I'm diagnosed with real nigga conditions
Today is the day I follow my intuition
Keep the family close, get money, fuck bitches
I double-parked the Aston in the red
My momma told me that I'ma work myself to death
My girl told me don't let these hoes get in my head
My world been ecstatic, I checked the signal that read—",Yah.
"I could spot you a mile away
I could see your insecurities written all on your face
So predictable your words, I know what you gonna say
Who you foolin'? Oh, you assuming you can just come and hang
With the homies but your level of realness ain't the same
Circus acts only attract those that entertain
Small talk, we know that it's all talk
We live in the Laugh Factory every time they mention your name",You Ain't Gotta Lie (Momma Said)
